metric_name,month,day_of_month,avg_precip_mtd,min_precip_mtd,max_precip_mtd,p10_precip_mtd,p25_precip_mtd,p50_precip_mtd,p75_precip_mtd,p90_precip_mtd
precip,Oct,4,0.187,0.0,0.9400000000000001,0.0,0.0,0.02,0.29,0.692
precip,Oct,5,0.24400000000000002,0.0,1.2200000000000002,0.0,0.0,0.055,0.3675,0.812
precip,Oct,6,0.29433333333333334,0.0,1.3900000000000001,0.0,0.0,0.11,0.46749999999999997,0.8410000000000005
precip,Oct,7,0.30866666666666664,0.0,1.73,0.0,0.0,0.135,0.4675,0.8410000000000005
precip,Oct,8,0.337,0.0,1.75,0.0,0.0,0.14500000000000002,0.5425,0.8410000000000005
precip,Oct,9,0.36966666666666664,0.0,1.9300000000000002,0.0,0.0,0.19,0.5425,0.8410000000000005
precip,Oct,10,0.4086666666666667,0.0,2.46,0.0,0.0025,0.27,0.555,0.8410000000000005
precip,Oct,11,0.48666666666666664,0.0,2.46,0.0,0.0125,0.37,0.63,1.23
precip,Oct,12,0.517,0.0,2.46,0.0,0.042499999999999996,0.42500000000000004,0.6749999999999999,1.3020000000000003
precip,Oct,13,0.526,0.0,2.46,0.0,0.042499999999999996,0.45,0.6825,1.3020000000000003
precip,Oct,14,0.5373333333333333,0.0,2.46,0.0,0.045,0.46499999999999997,0.685,1.3020000000000003
precip,Oct,15,0.5413333333333333,0.0,2.4699999999999998,0.0,0.045,0.46499999999999997,0.775,1.3020000000000003
precip,Oct,16,0.5690000000000001,0.0,2.6999999999999997,0.0,0.10750000000000001,0.46499999999999997,0.8574999999999999,1.3020000000000003
precip,Oct,17,0.6263333333333333,0.0,2.76,0.009000000000000005,0.165,0.475,0.9125,1.401
precip,Oct,18,0.6466666666666666,0.0,3.15,0.019000000000000003,0.165,0.485,0.9125,1.423
precip,Oct,19,0.7036666666666667,0.0,3.15,0.019000000000000003,0.22999999999999998,0.5,0.915,1.5450000000000002
precip,Oct,20,0.7623333333333334,0.0,3.17,0.019000000000000003,0.3775,0.585,1.1325,1.6180000000000008
precip,Oct,21,0.7716666666666667,0.0,3.17,0.019000000000000003,0.3775,0.585,1.1675,1.6180000000000008
precip,Oct,22,0.8113333333333334,0.0,3.17,0.12700000000000006,0.4675,0.6400000000000001,1.1675,1.6180000000000008
precip,Oct,23,0.8696666666666667,0.0,3.17,0.16300000000000006,0.4675,0.685,1.2825000000000002,1.834
precip,Oct,24,0.8966666666666667,0.0,3.17,0.16300000000000006,0.49,0.7450000000000001,1.3050000000000002,1.8890000000000005
precip,Oct,25,0.9976666666666667,0.0,3.17,0.16300000000000006,0.49,0.8200000000000001,1.4175,1.923000000000001
precip,Oct,26,1.0463333333333333,0.0,3.51,0.16300000000000006,0.49,0.86,1.5375,2.0150000000000006
precip,Oct,27,1.084,0.0,3.51,0.16300000000000006,0.49,0.86,1.5775000000000001,2.0230000000000006
precip,Oct,28,1.1123333333333332,0.0,3.51,0.16300000000000006,0.5,0.865,1.5775000000000001,2.0230000000000006
precip,Oct,29,1.1366666666666667,0.0,3.67,0.16400000000000003,0.545,0.9649999999999999,1.5800000000000003,2.0230000000000006
precip,Oct,30,1.1753333333333333,0.0,3.91,0.17400000000000002,0.595,0.9649999999999999,1.5800000000000003,2.1040000000000005
precip,Oct,31,1.2206666666666666,0.0,3.91,0.178,0.635,0.9699999999999999,1.8000000000000003,2.1040000000000005
precip,Nov,1,0.014333333333333333,0.0,0.35,0.0,0.0,0.0,0.0,0.011000000000000015
precip,Nov,2,0.043333333333333335,0.0,1.1,0.0,0.0,0.0,0.025,0.1050000000000002
precip,Nov,3,0.07,0.0,1.1,0.0,0.0,0.0,0.03,0.26500000000000007
precip,Nov,4,0.11766666666666667,0.0,1.11,0.0,0.0,0.015,0.12000000000000001,0.4720000000000002
precip,Nov,5,0.17733333333333334,0.0,1.1500000000000001,0.0,0.0,0.03,0.2575,0.6500000000000001
precip,Nov,6,0.19133333333333333,0.0,1.1500000000000001,0.0,0.0,0.03,0.2575,0.7470000000000001
precip,Nov,7,0.207,0.0,1.27,0.0,0.0,0.06,0.2775,0.7470000000000001
precip,Nov,8,0.29633333333333334,0.0,1.37,0.0,0.01,0.11000000000000001,0.4175,0.8950000000000002
precip,Nov,9,0.422,0.0,1.73,0.0,0.0375,0.275,0.755,1.07
precip,Nov,10,0.466,0.0,1.76,0.0,0.045,0.30000000000000004,0.8025,1.2110000000000003
precip,Nov,11,0.49633333333333335,0.0,1.76,0.0,0.14250000000000002,0.32499999999999996,0.805,1.2110000000000003
precip,Nov,12,0.5286666666666666,0.0,1.76,0.009000000000000005,0.15000000000000002,0.37,0.8725,1.2140000000000004
precip,Nov,13,0.5496666666666667,0.0,1.83,0.009000000000000005,0.19,0.395,0.8875000000000001,1.2140000000000004
precip,Nov,14,0.5736666666666667,0.0,1.83,0.02700000000000001,0.19,0.43,0.9025000000000001,1.2140000000000004
precip,Nov,15,0.5890000000000001,0.0,1.83,0.02700000000000001,0.19,0.43,1.0225,1.2860000000000003
precip,Nov,16,0.619,0.0,2.27,0.03900000000000001,0.19,0.475,1.03,1.2950000000000004
